Ticker,Description,Sector,Exchange
AAATECH,AAA TECHNOLOGIES LTD,Technology Services,NSE
TORNTPHARM,TORRENT PHARM,Health Technology,NSE
UNIVASTU,UNIVASTU INDIA LTD,Industrial Services,NSE
VIKASLIFE,VIKAS LIFECARE LTD,Distribution Services,NSE
TTKHLTCARE,TTK HEALTHCARE,Health Technology,NSE
COOLCAPS,COOL CAPS INDUSTRI,Producer Manufacturing,NSE
KAJARIACER,KAJARIA CERAMICS,Producer Manufacturing,NSE
BLUECOAST,BLUE COAST HOTELS,Consumer Services,NSE
TAKE,TAKE SOLUTIONS,Technology Services,NSE
MID150BEES,NIP IND ETF MIDCAP 150,Miscellaneous,NSE
SALONA,SALONA COTSPIN,Process Industries,NSE
SIGACHI,SIGACHI INDUSTRIES LTD,Health Technology,NSE
HARSHA,HARSHA ENGINEERS INT LTD,Producer Manufacturing,NSE
KOTHARIPRO,KOTHARI PRODUCTS,Distribution Services,NSE
DKEGL,DK ENTERPRISES GLO,Process Industries,NSE
HEROMOTOCO,HERO MOTOCORP LTD,Consumer Durables,NSE
KAUSHALYA,KAUSHALYA,Industrial Services,NSE
MWL,MANGALAM WORLDWIDE,Non-Energy Minerals,NSE
DREDGECORP,DREDGING CORP IND,Transportation,NSE
RANEENGINE,RANE ENGINE VALVES,Producer Manufacturing,NSE
AWHCL,ANTONY WASTE HDG CELL LTD,Transportation,NSE
ELDEHSG,ELDECO HSG & IND LTD,Finance,NSE
BANKBEES,NIPPON INDIA MF,Miscellaneous,NSE
CENTUM,CENTUM ELECTRONICS,Electronic Technology,NSE
BHARATRAS,BHARAT RASAYAN LTD,Process Industries,NSE
FIEMIND,FIEM INDUSTRIES LTD,Producer Manufacturing,NSE
IDEA,VODAFONE IDEA LTD,Communications,NSE
MOLDTECH,MOLD-TEK TECHNOLO,Industrial Services,NSE
MIDHANI,MISHRA DHATU NIGAM,Non-Energy Minerals,NSE
MUTHOOTCAP,MUTHOOT CAPITAL SE,Finance,NSE
RELINFRA,RELIANCE INFRASTRU,Utilities,NSE
ATLANTAA,ATLANTAA LTD,Industrial Services,NSE
PSB,PUNJAB & SIND BANK,Finance,NSE
MUNJALSHOW,MUNJAL SHOWA,Producer Manufacturing,NSE
YESBANK,YES BANK,Finance,NSE
PRAJIND,PRAJ INDUSTRIES,Industrial Services,NSE
AGNI,AGNI GREEN POWER L,Utilities,NSE
CELLECOR,CELLECOR GADGETS L,Consumer Durables,NSE
EVEREADY,EVEREADY INDUSTRIE,Producer Manufacturing,NSE
CINELINE,CINELINE INDIA LTD,Consumer Services,NSE
SUPERHOUSE,SUPERHOUSE LTD,Consumer Non-Durables,NSE
DIAMONDYD,PRATAAP SNACKS LTD,Consumer Non-Durables,NSE
VISHNU,VISHNU CHEMICALS L,Process Industries,NSE
DCI,DC INFOTECH AND COMUN LTD,Electronic Technology,NSE
PATANJALI,PATANJALI FOODS LTD,Process Industries,NSE
ASTRAMICRO,ASTRA MICROWAVE PR,Electronic Technology,NSE
TRF,TRF LTD,Producer Manufacturing,NSE
JYOTISTRUC,JYOTI STRUCTURES,Utilities,NSE
VIJIFIN,VIJI FINANCE LTD,Finance,NSE
NIFMID150,UTIAMC - NIFMID150,,NSE
GEPIL,GE POWER INDIA LTD,Industrial Services,NSE
MENONBE,MENON BEARINGS LTD,Producer Manufacturing,NSE
INOXGREEN,INOX GREEN ENERGY SER LTD,Utilities,NSE
WILLAMAGOR,WILLIAMSON MAGOR &,Finance,NSE
SURAJEST,SURAJ ESTATE DEVELOPERS L,Industrial Services,NSE
SBIETFQLTY,SBI MUTUAL FUND,Miscellaneous,NSE
TCLCONS,TANTIA CONSTRUCTIONS LTD,Industrial Services,NSE
SUNCLAY,SUNDARAM CLAYTON LTD,Producer Manufacturing,NSE
ROXHITECH,ROX HI-TECH LTD,Technology Services,NSE
THYROCARE,THYROCARE TECHNOL,Health Services,NSE
KALAMANDIR,SAI SILKS (KALAMANDIR) L,Retail Trade,NSE
APOLSINHOT,APOLLO SINDOORI HO,Consumer Services,NSE
PKTEA,PERIA KARAMALAI TE,Process Industries,NSE
AARVEEDEN,AARVEE DENIMS & EX,Process Industries,NSE
SHAILY,SHAILY ENG PLASTICS LTD,Process Industries,NSE
JINDRILL,JINDAL DRILLING,Industrial Services,NSE
BAHETI,BAHETI RECYCLING I,Producer Manufacturing,NSE
VETO,VETO SWITCHGEARS A,Producer Manufacturing,NSE
EUROBOND,EURO PANEL PRODUCT,Non-Energy Minerals,NSE
COFORGE,COFORGE LTD,Technology Services,NSE
DRL.ST,DHANUKA REALTY LTD,Finance,NSE
SURANI,SURANI STEEL TUBES,Non-Energy Minerals,NSE
NEWJAISA,NEWJAISA TECHNOLOG,Retail Trade,NSE
TIJARIA,TIJARIA POLYPIPES,Producer Manufacturing,NSE
BATAINDIA,BATA INDIA,Consumer Non-Durables,NSE
GRANULES,GRANULES INDIA,Health Technology,NSE
HEMIPROP,HEMISPHERE PROP IND LTD,Finance,NSE
SONATSOFTW,SONATA SOFTWARE,Technology Services,NSE
ASIANTILES,ASIAN GRANITO INDI,Producer Manufacturing,NSE
CRISIL,CRISIL LTD,Technology Services,NSE
PIONEEREMB,PIONEER EMBROID LTD,Consumer Non-Durables,NSE
WIPRO,WIPRO LTD,Technology Services,NSE
MUFIN,MUFIN GREEN FINANCE LTD,Finance,NSE
PRESSTONIC.ST,PRESSTONIC ENGINEERING L,,NSE
IRIS,IRIS BUSINESS SERV LTD,Technology Services,NSE
VENKEYS,VENKY'S (INDIA),Process Industries,NSE
5PAISA,5PAISA CAPITAL LTD,Finance,NSE
KHANDSE,KHANDWALA SEC LTD,Finance,NSE
AUTOBEES,NIPPONAMC - NETFAUTO,,NSE
BCG,BRIGHTCOM GROUP,Technology Services,NSE
JAIPURKURT,NANDANI CREATION LTD,Consumer Non-Durables,NSE
LANDMARK,LANDMARK CARS LTD,Retail Trade,NSE
SDBL,SOM DIST & BREW LTD,Consumer Non-Durables,NSE
ASALCBR,ASSO ALCOHOLS & BREW LTD,Consumer Non-Durables,NSE
JETFREIGHT,JET FREIGHT LOGISTICS LTD,Transportation,NSE
LASA,LASA SUPERGENERICS,Health Technology,NSE
JKCEMENT,JK CEMENTS LTD,Non-Energy Minerals,NSE
RKFORGE,RAMKRISHNA FORGINS,Producer Manufacturing,NSE
RUCHINFRA,RUCHI INFRASTRUCTU,Transportation,NSE
HINDCOMPOS,HINDUSTAN COMPOSIT,Producer Manufacturing,NSE
EIHAHOTELS,EIH ASSOC HOTELS,Consumer Services,NSE
GOYALALUM,GOYAL ALUMINIUMS LTD,Distribution Services,NSE
TEXMOPIPES,TEXMO PIPES & PROD,Producer Manufacturing,NSE
ORIENTPPR,ORIENT PAPER & IND,Process Industries,NSE
MOIL,MOIL LTD,Non-Energy Minerals,NSE
CERA,CERA SANITARYWARE,Consumer Durables,NSE
NHPC,NHPC LTD,Utilities,NSE
DSSL,DYNACONS SYS SOLUT,Technology Services,NSE
RAMASTEEL,RAMA STEEL TUBES,Non-Energy Minerals,NSE
SHAH,SHAH METACORP LTD,Non-Energy Minerals,NSE
IRMENERGY,IRM ENERGY LTD,Energy Minerals,NSE
SEQUENT,SEQUENT SCIENTIFIC,Health Technology,NSE
DCW,DCW,Process Industries,NSE
CELLO,CELLO WORLD LTD,Consumer Durables,NSE
CONSUMIETF,ICICIPRAMC - ICICICONSU,Miscellaneous,NSE
V2RETAIL,V2 RETAIL LTD,Retail Trade,NSE
AIRTELPP.E1,BHARTI RS. 1.25 PPD UP,Communications,NSE
ASAL,AUTOMOTIVE STAMPIN,Producer Manufacturing,NSE
DWARKESH,DWARIKESH SUGAR IN,Process Industries,NSE
RADIOCITY.P1,MUSIC BROADCAST LTD,,NSE
CHENNPETRO,CHENNAI PETRO CP,Energy Minerals,NSE
MANAKCOAT,MANAKSIA COATED ME,Non-Energy Minerals,NSE
AROGRANITE,ARO GRANITE INDUS,Non-Energy Minerals,NSE
BASILIC,BASILIC FLY STUDIO,Consumer Services,NSE
BRIGADE,BRIGADE ENTERPRISE,Finance,NSE
DBREALTY,DB REALTY LTD,Finance,NSE
SAIL,STEEL AUTHOR INDIA,Non-Energy Minerals,NSE
GLOBALPET,GLOBAL PET INDUSTR,Producer Manufacturing,NSE
TIINDIA,TUBE INVESTMENTS O,Non-Energy Minerals,NSE
63MOONS,63 MOONS TECHNOLOG,Technology Services,NSE
AURIONPRO,AURIONPRO SOLUTION,Technology Services,NSE
MANAKALUCO,MANAKSIA ALUMINIUM,Non-Energy Minerals,NSE
SAMBHAAV,SAMBHAAV MEDIA LTD,Consumer Services,NSE
GTPL,GTPL HATHWAY LTD,Communications,NSE
