NIFTY 20,NIFTY 50,NIFTY NEXT 50,NIFTY 200,NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDSMALLCAP 400,NIFTY TOTAL MARKET,NIFTY 200 cv,NSC ALL,BSE ALL
,,,,,,,SWSOLAR,,HNGSNGBEES,UNISHIRE
,,,,,,,AHLUCONT,,HOMEFIRST,SICAPIT
,,,,,,,JKLAKSHMI,,HONAUT,VIMTALABS
,,,,,,,SUPREMEIND,,HONDAPOWER,RAJRAYON
,,,,,,,SUPRAJIT,,HOVS,ABHIJIT
,,,,,,,KSB,,HPAL,KEERTHI
,,,,,,,AXISBANK,,HPL,ZGOLDINV
,,,,,,,JKPAPER,,HSCL,AREYDRG
,,,,,,,EIDPARRY,,HTMEDIA,RTNPOWER
,,,,,,,FCL,,HUBTOWN,PGEL
,,,,,,,PPLPHARMA,,HUDCO,SYNTHFO
,,,,,,,RENUKA,,HUHTAMAKI,MOHITE
,,,,,,,ADANITRANS,,HYBRIDFIN,IFGLEXPOR
,,,,,,,BECTORFOOD,,IBMFNIFTY,CEREBRAINT
,,,,,,,STOVEKRAFT,,IBREALEST,NATURAL
,,,,,,,PANAMAPET,,IBULHSGFIN,JCTLTD
,,,,,,,TARSONS,,ICEMAKE,SINDUVA
,,,,,,,AEGISCHEM,,ICICI10GS,COFORGE
,,,,,,,RELINFRA,,ICICI500,CANTABIL
,,,,,,,DELHIVERY,,ICICI5GSEC,SANDUMA
,,,,,,,ATGL,,ICICIALPLV,INDIACEM
,,,,,,,GREENPLY,,ICICIAUTO,WELSPUNIND
,,,,,,,FIEMIND,,ICICIB22,INDSUCR
,,,,,,,SONACOMS,,ICICIBANK,AJWAFUN
,,,,,,,NDTV,,ICICIBANKN,MIRCH
,,,,,,,PAISALO,,ICICIBANKP,JAFINANCE
,,,,,,,DBREALTY,,ICICICOMMO,SINNAR
,,,,,,,RHIM,,ICICICONSU,DBSTOCKBRO
,,,,,,,CAMPUS,,ICICIFIN,VENUSREM
,,,,,,,KRBL,,ICICIFMCG,HAWKINCOOK
,,,,,,,,,ICICIGI,TATASTEEL
,,,,,,,,,ICICIGOLD,DRA
,,,,,,,,,ICICIINFRA,AMIORG
,,,,,,,,,ICICILIQ,INDSILHYD
,,,,,,,,,ICICILOVOL,VINCOFE
,,,,,,,,,ICICIM150,BLKASHYAP
,,,,,,,,,ICICIMCAP,CFF
,,,,,,,,,ICICIMOM30,VASWANI
,,,,,,,,,ICICINF100,WELCURE
,,,,,,,,,ICICINIFTY,VINYLINDIA
,,,,,,,,,ICICINV20,PDMJEPAPER
,,,,,,,,,ICICINXT50,SANGHVIMOV
,,,,,,,,,ICICIPHARM,NIEHSPC
,,,,,,,,,ICICIPRULI,SWARNSAR
,,,,,,,,,ICICISENSX,HANSUGAR
,,,,,,,,,ICICISILVE,MUNCAPM
,,,,,,,,,ICICITECH,MUKANDLTD
,,,,,,,,,ICIL,RACLGEAR
,,,,,,,,,ICRA,TREEHOUSE
,,,,,,,,,IDBI,SBECSYS
,,,,,,,,,IDBIGOLD,SPLPETRO
,,,,,,,,,IDEA,RIIL
,,,,,,,,,IDFC,BANARBEADS
,,,,,,,,,IDFCFIRSTB,LXCHEM
,,,,,,,,,IDFNIFTYET,ZODJRDMKJ
,,,,,,,,,IEL,ASIANENE
,,,,,,,,,IEX,JAYBARMARU
,,,,,,,,,IFBAGRO,DHANFAB
,,,,,,,,,IFBIND,SAGRSOY-B
,,,,,,,,,IFCI,INDONG
,,,,,,,,,IFGLEXPOR,SATIN
,,,,,,,,,IGARASHI,SURAJ
,,,,,,,,,IGL,NIESSPI
,,,,,,,,,IGPL,SETFNIFBK
,,,,,,,,,IIFL,GODFRYPHLP
,,,,,,,,,IIFLSEC,MERCTRD
,,,,,,,,,IITL,AMARAJABAT
,,,,,,,,,IMAGICAA,COMCL
,,,,,,,,,IMFA,SUCHITRA
,,,,,,,,,IMPAL,ZSATYASL
,,,,,,,,,IMPEXFERRO,DECCANCE
,,,,,,,,,INCREDIBLE,RITES
,,,,,,,,,INDBANK,NYSSACORP
,,,,,,,,,INDHOTEL,FELDVR
,,,,,,,,,INDIACEM,BATLIBOI
,,,,,,,,,INDIAGLYCO,VRLLOG
,,,,,,,,,INDIAMART,LICNETFN50
,,,,,,,,,INDIANB,BALRAMCHIN
,,,,,,,,,INDIANCARD,VBDESAI
,,,,,,,,,INDIANHUME,MIRZAINT
,,,,,,,,,INDIGO,UPL
,,,,,,,,,INDIGOPNTS,SANINFRA
,,,,,,,,,INDNIPPON,ADITYA
,,,,,,,,,INDOAMIN,MEDIAONE
,,,,,,,,,INDOBORAX,SHEETAL
,,,,,,,,,INDOCO,ADANIPORTS
,,,,,,,,,INDORAMA,NAVKAR
,,,,,,,,,INDOTECH,MERCANTILE
,,,,,,,,,INDOWIND,
,,,,,,,,,INDSWFTLAB,EMPIND
,,,,,,,,,INDSWFTLTD,SPLIL
,,,,,,,,,INDTERRAIN,COROENGG
,,,,,,,,,INDUSINDBK,
,,,,,,,,,INDUSTOWER,ZEELEARN
,,,,,,,,,INFIBEAM,NIEHSPF
,,,,,,,,,INFOBEAN,IPL
,,,,,,,,,INFOMEDIA,POLYSPIN
,,,,,,,,,INFRABEES,KESARPE
,,,,,,,,,INFY,AXISCETF
,,,,,,,,,INGERRAND,SAENTER
,,,,,,,,,INOXGREEN,MAHLIFE
,,,,,,,,,INOXWIND,SISL
,,,,,,,,,INSECTICID,
,,,,,,,,,INSPIRISYS,BASANTGL
,,,,,,,,,INTELLECT,WARRENTEA
,,,,,,,,,INTENTECH,NAM-INDIA
,,,,,,,,,INTLCONV,DHRUVCA
,,,,,,,,,INVENTURE,VARUNME
,,,,,,,,,IOB,ARL
,,,,,,,,,IOC,DATIWARE
,,,,,,,,,IOLCP,SANPA
,,,,,,,,,IONEXCHANG,UGARSUGAR
,,,,,,,,,IPCALAB,NIMBSPROJ
,,,,,,,,,IPL,UNITEDINT
,,,,,,,,,IRB,SKRABUL
,,,,,,,,,IRCON,KCL
,,,,,,,,,IRCTC,BALLARPUR
,,,,,,,,,IRFC,MORARKFI
,,,,,,,,,IRIS,TIPSINDLTD
,,,,,,,,,IRISDOREME,SHANGAR
,,,,,,,,,ISEC,ADARSHPL
,,,,,,,,,ISFT,CGFL
,,,,,,,,,ISGEC,VGCL
,,,,,,,,,ISMTLTD,SVGLOBAL
,,,,,,,,,ITBEES,BIL
,,,,,,,,,ITC,SMARTLINK
,,,,,,,,,ITDC,CONTICON
,,,,,,,,,ITDCEM,SUNGOLD
,,,,,,,,,ITI,QUESS
,,,,,,,,,IVC,STDBAT
,,,,,,,,,IVP,VIRTUALG
,,,,,,,,,IVZINGOLD,JINDALSTEL
,,,,,,,,,IVZINNIFTY,
,,,,,,,,,IWEL,ATFL
,,,,,,,,,IZMO,TANAA
,,,,,,,,,J&KBANK,BCLENTERPR
,,,,,,,,,JAGRAN,MOTILALOFS
,,,,,,,,,JAGSNPHARM,TERASOFT
,,,,,,,,,JAIBALAJI,BALAJITELE
,,,,,,,,,JAICORPLTD,OLECTRA
,,,,,,,,,JAIPURKURT,
,,,,,,,,,JAMNAAUTO,BLBLIMITED
,,,,,,,,,JASH,SHKALYN
,,,,,,,,,JAYAGROGN,COCHINSHIP
,,,,,,,,,JAYBARMARU,
,,,,,,,,,JAYNECOIND,LASTMILE
,,,,,,,,,JAYSREETEA,MARIS
,,,,,,,,,JBCHEPHARM,CIFL
,,,,,,,,,JBMA,ASHIMASYN
,,,,,,,,,JCHAC,ZSARACOM
,,,,,,,,,JETFREIGHT,
,,,,,,,,,JHS,MANKIND
,,,,,,,,,JINDALPHOT,DBREALTY
,,,,,,,,,JINDALPOLY,SUMERUIND
,,,,,,,,,JINDALSAW,SHREECEM
,,,,,,,,,JINDALSTEL,SHARPINV
,,,,,,,,,JINDRILL,BIJHANS
,,,,,,,,,JINDWORLD,VANTABIO
,,,,,,,,,JISLDVREQS,MKEXIM
,,,,,,,,,JISLJALEQS,OBEROIRLTY
,,,,,,,,,JKCEMENT,YSL
,,,,,,,,,JKIL,AXISCADES
,,,,,,,,,JKLAKSHMI,ASAHIINDIA
,,,,,,,,,JKPAPER,EVEXIA
,,,,,,,,,JKTYRE,GFIL
,,,,,,,,,JMA,DLCL
,,,,,,,,,JMFINANCIL,SINTEXPLAST
,,,,,,,,,JOCIL,MAESGETF
,,,,,,,,,JPASSOCIAT,RAINBOW
,,,,,,,,,JPOLYINVST,SIMPLEXCAS
,,,,,,,,,JPPOWER,BIOFILCHEM
,,,,,,,,,JSL,VTL
,,,,,,,,,JSWENERGY,PRIMAPLA
,,,,,,,,,JSWHL,DOLATALGO
,,,,,,,,,JSWISPL,ORIENTBELL
,,,,,,,,,JSWSTEEL,GHCL
,,,,,,,,,JTEKTINDIA,SHIVAMILLS
,,,,,,,,,JTLIND,VIKALPS
,,,,,,,,,JUBLFOOD,ECS
,,,,,,,,,JUBLINDS,SVPGLOB
,,,,,,,,,JUBLINGREA,SHARP
,,,,,,,,,JUBLPHARMA,SUMICHEM
,,,,,,,,,JUNIORBEES,
,,,,,,,,,JUSTDIAL,KTINDF4RD
,,,,,,,,,JWL,SAINTGOBAIN
,,,,,,,,,JYOTHYLAB,BALPHARMA
,,,,,,,,,KABRAEXTRU,
,,,,,,,,,KAJARIACER,SOFTRAKV
,,,,,,,,,KAKATCEM,RAIN
,,,,,,,,,KALPATPOWR,KMFBLDR
,,,,,,,,,KALYANKJIL,AGIIL
,,,,,,,,,KAMATHOTEL,HDFCPVTBAN
,,,,,,,,,KAMDHENU,BLISSGVS
,,,,,,,,,KAMOPAINTS,RUBFILA
,,,,,,,,,KANANIIND,RIDHISYN
,,,,,,,,,KANORICHEM,PANABYTE
,,,,,,,,,KANPRPLA,SECURKLOUD
,,,,,,,,,KANSAINER,VIKSHEN
,,,,,,,,,KAPSTON,THACKER
,,,,,,,,,KARURVYSYA,NEXUSSURGL
,,,,,,,,,KAUSHALYA,
,,,,,,,,,KAVVERITEL,RJSHAH
,,,,,,,,,KAYA,HANMAN
,,,,,,,,,KAYNES,TVSELECT
,,,,,,,,,KCP,SHREYANIND
,,,,,,,,,KCPSUGIND,GENUSPAPER
,,,,,,,,,KDDL,APCL
,,,,,,,,,KEC,ADESHWAR
,,,,,,,,,KECL,PANCARBON
,,,,,,,,,KEI,AGARIND
,,,,,,,,,KELLTONTEC,SUNRAJDI
,,,,,,,,,KENNAMET,PJL
,,,,,,,,,KESORAMIND,KAYA
,,,,,,,,,KEYFINSERV,JPOLYINVST
,,,,,,,,,KFINTECH,SUBROS
,,,,,,,,,KHADIM,MBLINFRA
,,,,,,,,,KHAICHEM,MIDEASTP
,,,,,,,,,KHAITANLTD,TAVERNIER
,,,,,,,,,KHANDSE,GSPL
,,,,,,,,,KICL,MLINDLTD
,,,,,,,,,KILITCH,HCL-INSYS
,,,,,,,,,KIMS,AMARNATH
,,,,,,,,,KINGFA,COSPOWER
,,,,,,,,,KIOCL,JAYKAY
,,,,,,,,,KIRIINDUS,LICI
,,,,,,,,,KIRLFER,CHADPAP
,,,,,,,,,KIRLOSBROS,MOTHERSON
,,,,,,,,,KIRLOSENG,VESUVIUS
,,,,,,,,,KIRLOSIND,ATHENAGLO
,,,,,,,,,KITEX,PRAJIND
,,,,,,,,,KKCL,SPANDANA
,,,,,,,,,KMSUGAR,BRRL
,,,,,,,,,KNRCON,MARUTI
,,,,,,,,,KOHINOOR,TFL
,,,,,,,,,KOKUYOCMLN,SHINEFASH
,,,,,,,,,KOLTEPATIL,KANCOTEA
,,,,,,,,,KOPRAN,EPL
,,,,,,,,,KOTAKALPHA,KESAR
,,,,,,,,,KOTAKBANK,MANUGRAPH
,,,,,,,,,KOTAKBKETF,SMGOLD
,,,,,,,,,KOTAKCONS,SUBSM
,,,,,,,,,KOTAKGOLD,SRIND
,,,,,,,,,KOTAKIT,BESTEAST
,,,,,,,,,KOTAKLIQ,HAVELLS
,,,,,,,,,KOTAKLOVOL,KEC
,,,,,,,,,KOTAKMID50,PCJEWELLER
,,,,,,,,,KOTAKMNC,AJANTSOY
,,,,,,,,,KOTAKNIFTY,STML
,,,,,,,,,KOTAKNV20,SUNDARAM
,,,,,,,,,KOTAKPSUBK,PQIF
,,,,,,,,,KOTAKSILVE,GOLKONDA
,,,,,,,,,KOTARISUG,PROFINC
,,,,,,,,,KOTHARIPET,GRAPHITE
,,,,,,,,,KOTHARIPRO,TSPIRITUAL
,,,,,,,,,KOVAI,SIEMENS
,,,,,,,,,KPIGREEN,MANXT50ETF
,,,,,,,,,KPITTECH,ONEGLOBAL
,,,,,,,,,KPRMILL,SUNILAGR
,,,,,,,,,KRBL,FRONTSP
,,,,,,,,,KREBSBIO,HUDCO
,,,,,,,,,KRIDHANINF,UNIPARTS
,,,,,,,,,KRISHANA,BANG
,,,,,,,,,KRITI,OIVL
,,,,,,,,,KRITIKA,STANCAP
,,,,,,,,,KRITINUT,KCP
,,,,,,,,,KRSNAA,SRAMSET
,,,,,,,,,KSB,SHRISTI
,,,,,,,,,KSCL,YORKEXP
,,,,,,,,,KSHITIJPOL,ASIIL
,,,,,,,,,KSL,HPCOTTON
,,,,,,,,,KSOLVES,RAVALSUGAR
,,,,,,,,,KTKBANK,DIAMONDYD
,,,,,,,,,KUANTUM,MAHALXSE
,,,,,,,,,L&TFH,HPBL
,,,,,,,,,LAGNAM,CDG
,,,,,,,,,LALPATHLAB,PICTUREHS
,,,,,,,,,LAMBODHARA,AIRAN
,,,,,,,,,LANCER,SYRMA
,,,,,,,,,LANDMARK,TAALENT
,,,,,,,,,LAOPALA,UNICK
,,,,,,,,,LASA,YASHCHEM
,,,,,,,,,LATENTVIEW,INERTIAST
,,,,,,,,,LAURUSLABS,GENUSPOWER
,,,,,,,,,LAXMICOT,CHENNPETRO
,,,,,,,,,LAXMIMACH,VIJAYA
,,,,,,,,,LCCINFOTEC,BRIJLEAS
,,,,,,,,,LEMONTREE,SUMMITSEC
,,,,,,,,,LEXUS,BORORENEW
,,,,,,,,,LFIC,REGENCERAM
,,,,,,,,,LGBBROSLTD,SBLI
,,,,,,,,,LGBFORGE,UNIDT
,,,,,,,,,LIBAS,MORARJEE
,,,,,,,,,LIBERTSHOE,LIBORD
,,,,,,,,,LICHSGFIN,STEELXIND
,,,,,,,,,LICI,SYLPH
,,,,,,,,,LICNETFGSC,SHALIWIR
,,,,,,,,,LICNETFN50,
,,,,,,,,,LICNETFSEN,BNALTD
,,,,,,,,,LICNFNHGP,ADANIENT
,,,,,,,,,LIKHITHA,SCBL
,,,,,,,,,LINC,ATHCON
,,,,,,,,,LINCOLN,PPL
,,,,,,,,,LINDEINDIA,VRL
,,,,,,,,,LIQUIDBEES,JINDCAP
,,,,,,,,,LIQUIDETF,RANASUG
,,,,,,,,,LODHA,JKLAKSHMI
,,,,,,,,,LOKESHMACH,KEDIACN
,,,,,,,,,LOTUSEYE,PHRMASI
,,,,,,,,,LOVABLE,PADALPO
,,,,,,,,,LOYALTEX,NIESSPE
,,,,,,,,,LPDC,GLITTEKG
,,,,,,,,,LSIL,PUNJABCHEM
,,,,,,,,,LT,FLEXFO
,,,,,,,,,LTGILTBEES,LATENTVIEW
,,,,,,,,,LTIM,ZODIAC
,,,,,,,,,LTTS,HAVISHA
,,,,,,,,,LUMAXIND,GICHSGFIN
,,,,,,,,,LUMAXTECH,EMAMIREAL
,,,,,,,,,LUPIN,SCOOTER
,,,,,,,,,LUXIND,MEAPL
,,,,,,,,,LXCHEM,HPL
,,,,,,,,,LYKALABS,STLSTRINF
,,,,,,,,,LYPSAGEMS,KAVVERITEL
,,,,,,,,,M&M,MNKCMILTD
,,,,,,,,,M&MFIN,SRMCL
,,,,,,,,,MAANALU,ZENIFIB
,,,,,,,,,MACPOWER,MPHASIS
,,,,,,,,,MADHAV,RIDDHI
,,,,,,,,,MADHUCON,ASTRAZEN
,,,,,,,,,MADRASFERT,NAVIGANT
,,,,,,,,,MAESGETF,SAPL
,,,,,,,,,MAFANG,APTPACK
,,,,,,,,,MAFSETF,MANAPPURAM
,,,,,,,,,MAGADSUGAR,ROBU
,,,,,,,,,MAGNUM,MANAKSIA
,,,,,,,,,MAGOLDETF,RECLTD
,,,,,,,,,MAHABANK,HYBRIDFIN
,,,,,,,,,MAHAPEXLTD,HDFCLOWVOL
,,,,,,,,,MAHASTEEL,ELANTAS
,,,,,,,,,MAHEPC,SILVOAK
,,,,,,,,,MAHESHWARI,ALKYLAMINE
,,,,,,,,,MAHINDCIE,SUMEDHA
,,,,,,,,,MAHKTECH,ZPRBHSTE
,,,,,,,,,MAHLIFE,NEWGEN
,,,,,,,,,MAHLOG,ASINPET
,,,,,,,,,MAHSCOOTER,WALCHANNAG
,,,,,,,,,MAHSEAMLES,KARANWO
,,,,,,,,,MAITHANALL,ONGC
,,,,,,,,,MALLCOM,ABVL
,,,,,,,,,MALUPAPER,SCAPDVR
,,,,,,,,,MAM150ETF,SIDDHEGA
,,,,,,,,,MAMFGETF,SUNLOC
,,,,,,,,,MAN50ETF,FORCEMOT
,,,,,,,,,MANAKALUCO,VLSFINANCE
,,,,,,,,,MANAKCOAT,RRIL
,,,,,,,,,MANAKSIA,AKM
,,,,,,,,,MANAKSTEEL,INDIAGLYCO
,,,,,,,,,MANALIPETC,SATCH
,,,,,,,,,MANAPPURAM,JSWISPL
,,,,,,,,,MANGALAM,INDRENEW
,,,,,,,,,MANGCHEFER,PILANIINVS
,,,,,,,,,MANGLMCEM,VBCFERROQ
,,,,,,,,,MANINDS,STANPACK
,,,,,,,,,MANINFRA,SUPERTEX
,,,,,,,,,MANOMAY,EMMESSA
,,,,,,,,,MANORAMA,PNBGILTS
,,,,,,,,,MANORG,ICICINF100
,,,,,,,,,MANUGRAPH,TATAELXSI
,,,,,,,,,MANV30F,MAHLOG
,,,,,,,,,MANXT50,DUNCANENG
,,,,,,,,,MANYAVAR,CENTENKA
,,,,,,,,,MAPMYINDIA,ELFORGE
,,,,,,,,,MARALOVER,BHAGWOX
,,,,,,,,,MARATHON,PSUBNKBEES
,,,,,,,,,MARICO,FUTURSEC
,,,,,,,,,MARINE,HFCL
,,,,,,,,,MARKSANS,SAMINDUS
,,,,,,,,,MARUTI,HATHWAYB
,,,,,,,,,MASFIN,GOGIACAP
,,,,,,,,,MASPTOP50,MUTHOOTFIN
,,,,,,,,,MASTEK,MOL
,,,,,,,,,MATRIMONY,HEMANG
,,,,,,,,,MAWANASUG,AERPACE
,,,,,,,,,MAXHEALTH,SELMCL
,,,,,,,,,MAXIND,INDPRUD
,,,,,,,,,MAXVIL,HBLEAS
,,,,,,,,,MAYURUNIQ,INDIGOPNTS
,,,,,,,,,MAZDA,TATAYODOGA
,,,,,,,,,MAZDOCK,VOITHPAPR
,,,,,,,,,MBAPL,PCS
,,,,,,,,,MBLINFRA,WINSOMTX
,,,,,,,,,MCDOWELL-N,SITINET
,,,,,,,,,MCL,LPDC
,,,,,,,,,MCX,PHOENXINTL
,,,,,,,,,MEDANTA,CELLA
,,,,,,,,,MEDICAMEQ,IVP
,,,,,,,,,MEDICO,AYOME
,,,,,,,,,MEDPLUS,NECLTD-RE
,,,,,,,,,MEGASOFT,ELCIDIN
,,,,,,,,,MEGASTAR,SAICOM
,,,,,,,,,MENONBE,MANOMAY
,,,,,,,,,MEP,MACH
,,,,,,,,,METROBRAND,MEHTAHG
,,,,,,,,,METROPOLIS,ESSARSHPNG
,,,,,,,,,MFL,ADROITINFO
,,,,,,,,,MFSL,WWALUM
,,,,,,,,,MGEL,SADBHIN
,,,,,,,,,MGL,UNICHEMLAB
,,,,,,,,,MHLXMIRU,DREDGECORP
,,,,,,,,,MHRIL,RATNABHUMI
,,,,,,,,,MICEL,SXETF
,,,,,,,,,MID150BEES,PAISALO
,,,,,,,,,MIDHANI,CHOLAHLDNG
,,,,,,,,,MINDACORP,AMJLAND
,,,,,,,,,MINDTECK,SULA
,,,,,,,,,MIRCELECTR,NIKKIGL
,,,,,,,,,MITCON,RAJKOTINV
,,,,,,,,,MITTAL,UCIL
,,,,,,,,,MMFL,KIRLOSBROS
,,,,,,,,,MMP,INGERRAND
,,,,,,,,,MMTC,KIRLFER
,,,,,,,,,MODISONLTD,BMAL
,,,,,,,,,MOGSEC,SWOEF
,,,,,,,,,MOHEALTH,ARTSONEN
,,,,,,,,,MOHITIND,MPDL
,,,,,,,,,MOIL,RADICO
,,,,,,,,,MOKSH,SHIVA
,,,,,,,,,MOL,
,,,,,,,,,MOLDTECH,TERRAFORM
,,,,,,,,,MOLDTKPAC,RSYSTEMINT
,,,,,,,,,MOLOWVOL,BANASFN
,,,,,,,,,MOM100,ICICIM150
,,,,,,,,,MOM50,NDASEC
,,,,,,,,,MOMENTUM,VENLONENT
,,,,,,,,,MOMOMENTUM,VENKYS
,,,,,,,,,MON100,ATALREAL
,,,,,,,,,MONARCH,AIHL
,,,,,,,,,MONQ50,ROOPSHRI
,,,,,,,,,MONTECARLO,YUKEN
,,,,,,,,,MOQUALITY,AMANAYA
,,,,,,,,,MORARJEE,YUG
,,,,,,,,,MOREPENLAB,ROYALIND
,,,,,,,,,MOTHERSON,SKIPPER
,,,,,,,,,MOTILALOFS,STCORP
,,,,,,,,,MPHASIS,STEELCAS
,,,,,,,,,MPSLTD,PVRINOX
,,,,,,,,,MRF,MANAS
,,,,,,,,,MRO-TEK,TEGA
,,,,,,,,,MRPL,MPCOSEMB
,,,,,,,,,MSPL,BEL
,,,,,,,,,MSTCLTD,QUADRANT
,,,,,,,,,MSUMI,VIVIDHA
,,,,,,,,,MTARTECH,WILLIMFI
,,,,,,,,,MTNL,BERGEPAINT
,,,,,,,,,MUKANDLTD,PRIMEURB
,,,,,,,,,MUKTAARTS,TVOLCON
,,,,,,,,,MUNJALAU,ARCHITORG
,,,,,,,,,MUNJALSHOW,SHRMFGC
,,,,,,,,,MURUDCERA,DEVIT
,,,,,,,,,MUTHOOTCAP,KSE
,,,,,,,,,MUTHOOTFIN,LCCINFOTEC
,,,,,,,,,NACLIND,PPAP
,,,,,,,,,NAGAFERT,NECCLTD
,,,,,,,,,NAGREEKCAP,VSFPROJ
,,,,,,,,,NAGREEKEXP,IEX
,,,,,,,,,NAHARCAP,ANSHNCO
,,,,,,,,,NAHARINDUS,COLINZ
,,,,,,,,,NAHARPOLY,COMFINCAP
,,,,,,,,,NAHARSPING,TCNSBRANDS
,,,,,,,,,NAM-INDIA,OILCOUNTUB
,,,,,,,,,NARMADA,BRIGHTBR
,,,,,,,,,NATCOPHARM,NIDHGRN
,,,,,,,,,NATHBIOGEN,OMAXE
,,,,,,,,,NATIONALUM,AUTOINT
,,,,,,,,,NAUKRI,HITECHCORP
,,,,,,,,,NAVA,SMLISUZU
,,,,,,,,,NAVINFLUOR,CHEMFABALKA
,,,,,,,,,NAVKARCORP,KISAN
,,,,,,,,,NAVNETEDUL,SYMBIOX
,,,,,,,,,NAZARA,ITL
,,,,,,,,,NBCC,MANORG
,,,,,,,,,NBIFIN,RPGLIFE
,,,,,,,,,NCC,OSWALGREEN
,,,,,,,,,NCLIND,NAUKRI
,,,,,,,,,NDGL,JJFINCOR
,,,,,,,,,NDL,SURYALA
,,,,,,,,,NDRAUTO,KANELIND
,,,,,,,,,NDTV,NATURO
,,,,,,,,,NECCLTD,JMFINANCIL
,,,,,,,,,NECLIFE,RAMASTEEL
,,,,,,,,,NELCAST,SATRAPROP
,,,,,,,,,NELCO,EMIL
,,,,,,,,,NEOGEN,REMSONSIND
,,,,,,,,,NESCO,VIRYA
,,,,,,,,,NESTLEIND,ASUTENT
,,,,,,,,,NETF,ASHIS
,,,,,,,,,NETWORK18,ADFFOODS
,,,,,,,,,NEULANDLAB,BEEKAY
,,,,,,,,,NEWGEN,COSMOFE
,,,,,,,,,NEXTMEDIA,SJS
,,,,,,,,,NFL,SIMBHALS
,,,,,,,,,NGIL,SULABEN
,,,,,,,,,NGLFINE,SIS
,,,,,,,,,NH,TRITURBINE
,,,,,,,,,NHPC,FINOLEXIND
,,,,,,,,,NIACL,INCREDIBLE
,,,,,,,,,NIBL,MEERA
,,,,,,,,,NIF100BEES,SRECR
,,,,,,,,,NIFTYBEES,SRGSFL
,,,,,,,,,NIFTYQLITY,ALANKIT
,,,,,,,,,NIITLTD,KCSL
,,,,,,,,,NILAINFRA,ORIENTHOT
,,,,,,,,,NILASPACES,UCALFUEL
,,,,,,,,,NILKAMAL,ICICIBANKN
,,,,,,,,,NINSYS,ANDHRAPAP
,,,,,,,,,NIPPOBATRY,PGHL
,,,,,,,,,NIRAJ,ANNAINFRA
,,,,,,,,,NITCO,OSWALAGRO
,,,,,,,,,NITINSPIN,NCCBLUE
,,,,,,,,,NITIRAJ,SUPRIYA
,,,,,,,,,NKIND,SEML
,,,,,,,,,NLCINDIA,GLFL
,,,,,,,,,NMDC,FINELINE
,,,,,,,,,NOCIL,AJCON
,,,,,,,,,NOIDATOLL,QRIL
,,,,,,,,,NORBTEAEXP,DOLFIN
,,,,,,,,,NOVARTIND,SOUTHERNIN
,,,,,,,,,NPBET,STOVACQ
,,,,,,,,,NRAIL,SWADPOL
,,,,,,,,,NRBBEARING,VALSONQ
,,,,,,,,,NRL,SMARTFIN
,,,,,,,,,NSIL,SYSCHEM
,,,,,,,,,NSLNISP,SAYAJIIND
,,,,,,,,,NTPC,CONSTRONIC
,,,,,,,,,NUCLEUS,DONEAR
,,,,,,,,,NURECA,DELTACORP
,,,,,,,,,NUVOCO,SBECSUG
,,,,,,,,,NV20BEES,VADILENT
,,,,,,,,,NXTDIGITAL,THAKRAL
,,,,,,,,,NYKAA,SUVENPHAR
,,,,,,,,,OAL,STLTECH
,,,,,,,,,OBCL,SATIA
,,,,,,,,,OBEROIRLTY,KEMP
,,,,,,,,,OCCL,PERVASIVE
,,,,,,,,,OFSS,KRIFILIND
,,,,,,,,,OIL,DAULAT
,,,,,,,,,OILCOUNTUB,BFUTILITIE
,,,,,,,,,OLECTRA,BAJAJST
,,,,,,,,,OMAXAUTO,UTLINDS
,,,,,,,,,OMAXE,GALXBRG
,,,,,,,,,OMINFRAL,ESTER
,,,,,,,,,ONELIFECAP,ZEAL
,,,,,,,,,ONEPOINT,SHKARTP
,,,,,,,,,ONGC,MONOT
,,,,,,,,,ONMOBILE,ICICINIFTY
,,,,,,,,,ONWARDTEC,ICICICONSU
,,,,,,,,,OPTIEMUS,ESCORTS
,,,,,,,,,ORBTEXP,VEL
,,,,,,,,,ORICONENT,KRRAIL
,,,,,,,,,ORIENTABRA,BRAWN
,,,,,,,,,ORIENTALTL,ZSVTRADI
,,,,,,,,,ORIENTBELL,TRENT
,,,,,,,,,ORIENTCEM,WESTLEIRES
,,,,,,,,,ORIENTELEC,ASPIRA
,,,,,,,,,ORIENTHOT,SRD
,,,,,,,,,ORIENTLTD,INTLCOMBQ
,,,,,,,,,ORIENTPPR,TRIVIKRAMA
,,,,,,,,,ORISSAMINE,JCHAC
,,,,,,,,,ORTINLAB,GATI
,,,,,,,,,OSIAHYPER,PROZONINTU
,,,,,,,,,OSWALAGRO,RELICTEC
,,,,,,,,,OSWALSEEDS,ZSHERAPR
,,,,,,,,,PAGEIND,ICICIFMCG
,,,,,,,,,PAISALO,HATHWAY
,,,,,,,,,PALASHSECU,TECHCON
,,,,,,,,,PALREDTEC,CRSTCHM
,,,,,,,,,PANACEABIO,MOHITIND
,,,,,,,,,PANAMAPET,SHYAMMETL
,,,,,,,,,PANSARI,MORGAN
,,,,,,,,,PAR,JETFREIGHT
,,,,,,,,,PARACABLES,MFLINDIA
,,,,,,,,,PARADEEP,CHMBBRW
,,,,,,,,,PARAGMILK,RAYMOND
,,,,,,,,,PARAS,WELENT
,,,,,,,,,PARSVNATH,ALPHAGEO
