NIFTY 20,NIFTY 50,NIFTY NEXT 50,NIFTY 200,NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDSMALLCAP 400,NIFTY TOTAL MARKET,NIFTY 200 cv,NSC ALL,BSE ALL
,,,HDFCLIFE,,,PRESTIGE,TEJASNET,ASTRAL,AKG,FIEMIND
,,,BOSCHLTD,,,TCI,TANLA,VBL,AKI,FRSHTRP
,,,BANDHANBNK,,,BIOCON,AIAENG,WHIRLPOOL,AKSHARCHEM,POLSON
,,,COROMANDEL,,,TATACOMM,GRMOVER,TRENT,AKSHOPTFBR,FUTSOL
,,,WIPRO,,,APOLLOTYRE,TRITURBINE,BAJAJFINSV,AKZOINDIA,CPL
,,,JINDALSTEL,,,MHRIL,SIS,SHRIRAMFIN,ALANKIT,UNRYLMA
,,,PNB,,,BSOFT,BHARTIARTL,GLAND,ALBERTDAVD,GARGI
,,,LAURUSLABS,,,PCBL,RAINBOW,HAVELLS,ALEMBICLTD,GSAUTO
,,,BEL,,,CEATLTD,ESCORTS,TATACOMM,ALICON,GENUSPRIME
,,,UNIONBANK,,,SYNGENE,NH,TECHM,ALKALI,MMFL
,,,DALBHARAT,,,RADICO,DHANI,GODREJPROP,ALKEM,HARIOMPIPE
,,,UBL,,,EXIDEIND,BBTC,HCLTECH,ALKYLAMINE,GRAVITY
,,,NAVINFLUOR,,,KNRCON,MAHABANK,SBILIFE,ALLCARGO,GREENPANEL
,,,PAGEIND,,,BAYERCROP,TECHNOE,ICICIGI,ALLSEC,KERNEX
,,,TATAELXSI,,,ADANIPOWER,LAOPALA,INDUSINDBK,ALMONDZ,GTL
,,,IRFC,,,GREENPANEL,TECHM,TVSMOTOR,ALOKINDS,GTLINFRA
,,,ACC,,,ASTRAL,OLECTRA,PATANJALI,ALPA,HARLETH
,,,BATAINDIA,,,AUROPHARMA,IPCALAB,TATACHEM,ALPHAGEO,GOCLCORP
,,,PGHH,,,CYIENT,PNCINFRA,SUNPHARMA,ALPSINDUS,GMRP&UI
,,,LTIM,,,AJANTPHARM,RVNL,ADANITRANS,AMARAJABAT,GOLDTECH
,,,CHOLAFIN,,,MFSL,APLAPOLLO,MUTHOOTFIN,AMBER,HIGHSTREE
,,,CIPLA,,,BIRLACORPN,SUDARSCHEM,GODREJCP,AMBICAAGAR,HILTON
,,,TITAN,,,PERSISTENT,CCL,VOLTAS,AMBIKCO,HITECHGEAR
,,,ZEEL,,,INDIAMART,COFORGE,CIPLA,AMBUJACEM,HMT
,,,ASHOKLEY,,,BHARATFORG,SURYAROSNI,COROMANDEL,AMDIND,ICRA
,,,SBIN,,,JKCEMENT,HCG,OBEROIRLTY,AMIORG,HGS
,,,DABUR,,,APARINDS,HFCL,ICICIBANK,AMJLAND,HYPERSOFT
,,,TATACHEM,,,ERIS,FUSION,AXISBANK,AMRUTANJAN,ALKEM
,,,ADANIPORTS,,,IOB,HEG,BHARATFORG,ANANDRATHI,ICDSLTD
,,,CROMPTON,,,POONAWALLA,AMIORG,IPCALAB,ANANTRAJ,NIEHSPE
,,,APOLLOHOSP,,,MSUMI,NAZARA,BHARTIARTL,ANDHRAPAP,ICICIINFRA
,,,FEDERALBNK,,,LTTS,BALKRISIND,CHOLAFIN,ANDHRSUGAR,PROMAX
,,,ICICIGI,,,3MINDIA,NOCIL,ADANIGREEN,ANDREWYU,ICICIGI
,,,LUPIN,,,AMARAJABAT,APOLLOPIPE,SBICARD,ANGELONE,INDNIPPON
,,,DEEPAKNTR,,,IIFL,HINDPETRO,RAMCOCEM,ANIKINDS,INDUSINDBK
,,,INDIANB,,,DATAPATTNS,MASTEK,UPL,ANKITMETAL,INFY
,,,PETRONET,,,GLAND,INOXWIND,TATACONSUM,ANMOL,MEGASTAR
,,,UPL,,,HAPPSTMNDS,KRSNAA,JSWSTEEL,ANTGRAPHIC,INSECTICID
,,,M&MFIN,,,SOBHA,JMFINANCIL,ADANIPORTS,ANUP,ISFL
,,,OIL,,,CRISIL,MAZDOCK,LUPIN,ANURAS,ISFT
,,,NESTLEIND,,,SHOPERSTOP,SUNPHARMA,MFSL,APARINDS,JBCHEPHARM
,,,L&TFH,,,SPARC,BRITANNIA,IRCTC,APCL,JAICORPLTD
,,,HINDZINC,,,MRF,MAHSCOOTER,SYNGENE,APCOTEXIND,AXISTECETF
,,,WHIRLPOOL,,,RECLTD,SHANTIGEAR,AUBANK,APEX,JYOTHYLAB
,,,VOLTAS,,,INDIACEM,GICRE,CONCOR,APLAPOLLO,JKIL
,,,DRREDDY,,,RUSTOMJEE,CANFINHOME,BERGEPAINT,APLLTD,JSHL
,,,LT,,,RTNINDIA,KAYNES,JINDALSTEL,APOLLO,JUBLINGREA
,,,MOTHERSON,,,TVSMOTOR,HAVELLS,LICI,APOLLOHOSP,KANDAGIRI
,,,INDUSTOWER,,,ANURAS,CHALET,PAYTM,APOLLOPIPE,UTIAMC
,,,SRF,,,JSL,CMSINFO,POLICYBZR,APOLLOTYRE,KCLINFRA
,,,ALKEM,,,HGS,EMUDHRA,TORNTPOWER,APOLSINHOT,KCPSUGIND
,,,HONAUT,,,UNOMINDA,HSCL,SBIN,APTECHT,LEADFIN
,,,GODREJPROP,,,GUJGASLTD,JKTYRE,DABUR,APTUS,KENNAMET
,,,ICICIBANK,,,IGL,TATACOMM,GUJGASLTD,ARCHIDPLY,YOGISUNG
,,,NMDC,,,GMMPFAUDLR,KALPATPOWR,MARICO,ARCHIES,KMSUGAR
,,,NYKAA,,,ECLERX,ASIANPAINT,ZYDUSLIFE,ARENTERP,KOTHARIPRO
,,,ICICIPRULI,,,OFSS,HINDOILEXP,MAXHEALTH,ARIES,KRATOSENER
,,,BAJFINANCE,,,RBA,LUXIND,HDFCLIFE,ARIHANTCAP,KREBSBIO
,,,MPHASIS,,,JBMA,TRENT,AUROPHARMA,ARIHANTSUP,KRANTI
,,,HEROMOTOCO,,,MGL,AGI,ISEC,ARMANFIN,EXXARO
,,,TCS,,,VTL,PRESTIGE,JUBLFOOD,AROGRANITE,KUNSTOFF
,,,BANKBARODA,,,KFINTECH,BIRLACORPN,SUNTV,ARROWGREEN,LAMBODHARA
,,,LALPATHLAB,,,BLUEDART,JPPOWER,AWL,ARSHIYA,LAXMIMACH
,,,YESBANK,,,GRANULES,HINDCOPPER,SONACOMS,ARTEMISMED,LUMAXTECH
,,,GAIL,,,CENTRALBK,GRAVITA,IGL,ARTNIRMAN,TWL
,,,KOTAKBANK,,,AFFLE,PCBL,TATAMOTORS,ARVEE,LOTUSCHO
,,,ZOMATO,,,SKFINDIA,GREENPANEL,HINDALCO,ARVIND,LXMIATO
,,,FLUOROCHEM,,,IDEA,EXIDEIND,PRESTIGE,ARVINDFASN,MAHSEAMLES
,,,TTML,,,CONCOR,SYNGENE,ICICIPRULI,ARVSMART,MAITRI
,,,NAUKRI,,,PRAJIND,HEIDELBERG,ITC,ASAHIINDIA,REFEX
,,,GRASIM,,,GESHIP,FINPIPE,WIPRO,ASAHISONG,IDM
,,,BAJAJ-AUTO,,,PFC,BIOCON,EMAMILTD,ASAL,MANGLMCEM
,,,DMART,,,PATANJALI,ENDURANCE,AMBUJACEM,ASALCBR,MARICO
,,,MAXHEALTH,,,TRIDENT,BPCL,LICHSGFIN,ASHAPURMIN,MARGOFIN
,,,DLF,,,UTIAMC,ADANIPOWER,DLF,ASHIANA,MASFIN
,,,BHEL,,,VGUARD,BSOFT,DELHIVERY,ASHIMASYN,MAXIMUS
,,,ADANIGREEN,,,POLICYBZR,APOLLOTYRE,BPCL,ASHOKA,BESTAGRO
,,,SIEMENS,,,THERMAX,CEATLTD,INDHOTEL,ASHOKLEY,MNIL
,,,PATANJALI,,,MCX,BAYERCROP,LAURUSLABS,ASIANENE,MODIS
,,,OBEROIRLTY,,,BEML,TCI,HINDZINC,ASIANHOTNR,MOM100
,,,SBICARD,,,WESTLIFE,RADICO,CROMPTON,ASIANPAINT,CHOICEIN
,,,M&M,,,COCHINSHIP,APARINDS,CANBK,ASIANTILES,MAGNAELQ
,,,INDUSINDBK,,,GLENMARK,HERITGFOOD,POONAWALLA,ASPINWALL,STARHEALTH
,,,ABCAPITAL,,,ASHOKLEY,POWERMECH,VEDL,ASTEC,MUNJALAU
,,,SUNTV,,,NATCOPHARM,AUROPHARMA,GSPL,ASTERDM,NAHARINDUS
,,,POLYCAB,,,CUMMINSIND,HCC,FORTIS,ASTRAL,HINFLUR
,,,BAJAJFINSV,,,BALRAMCHIN,IIFL,INDIANB,ASTRAMICRO,NICCOPAR
,,,SAIL,,,POLYMED,CYIENT,OIL,ASTRAZEN,VINTAGES
,,,INDHOTEL,,,GAEL,CHOICEIN,JSWENERGY,ASTRON,NDLVENTURE
,,,TATASTEEL,,,CGPOWER,BAJAJHIND,PETRONET,ATFL,NETTLINX
,,,AMBUJACEM,,,KEI,JKCEMENT,HINDPETRO,ATGL,GUJGAS
,,,NHPC,,,GPPL,KNRCON,POWERGRID,ATLANTA,PIXTRANS
,,,JSWSTEEL,,,BASF,TATAMOTORS,BIOCON,ATUL,NTPC
,,,JUBLFOOD,,,RELAXO,VBL,COALINDIA,ATULAUTO,JOINTECAED
,,,PEL,,,BANDHANBNK,RTNINDIA,ABFRL,AUBANK,OCTAVE
,,,INDIGO,,,COROMANDEL,PERSISTENT,BANDHANBNK,AURIONPRO,PADMAIND
,,,LICI,,,UBL,SBILIFE,TATAPOWER,AUROPHARMA,ORTEL
,,,ULTRACEMCO,,,IRFC,BHARATFORG,ZEEL,AURUM,PANKAJPO
,,,ABFRL,,,TATAELXSI,SHOPERSTOP,NTPC,AUSOMENT,PARMAX
